fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group,fifa_home_rank,fifa_home_points,fifa_away_rank,fifa_away_points,fifa_rank_diff,fifa_points_diff,rolling_points_home,rolling_points_away,rolling_gd_home,rolling_gd_away,rest_days_home,rest_days_away,elo_home,elo_away,elo_diff,result
7697251,18/19,3,2018-10-12 18:45:00+00:00,finished,Belarus,Luxembourg,1.0,0.0,"UEFA Nations League, League D, Gr. 2",96.0,1242.876029,98.0,1232.81815,2.0,10.057878999999957,2.0,3.0,2.5,3.5,31.0,31.0,1517.2601896460435,1534.4604843745667,-17.200294728523204,H
7697279,18/19,4,2018-10-16 18:45:00+00:00,finished,Latvia,Georgia,0.0,3.0,"UEFA Nations League, League D, Gr. 1",137.0,1085.660758,72.0,1355.261687,-65.0,-269.60092899999995,0.6666666666666666,3.0,-0.3333333333333333,2.0,3.0,3.0,1488.5257973115256,1538.4073582948222,-49.881560983296595,A
7697305,18/19,5,2018-11-16 19:45:00+00:00,finished,Netherlands,France,2.0,0.0,"UEFA Nations League, League A, Gr. 1",9.0,1775.54224,3.0,1948.970817,-6.0,-173.4285769999999,1.5,2.3333333333333335,1.0,0.6666666666666666,34.0,31.0,1506.4693846698985,1517.3778886107173,-10.908503940818719,H
7697307,18/19,5,2018-11-17 19:45:00+00:00,finished,Italy,Portugal,0.0,0.0,"UEFA Nations League, League A, Gr. 3",15.0,1704.733836,7.0,1787.854725,-8.0,-83.1208889999998,1.3333333333333333,3.0,0.0,1.0,34.0,37.0,1501.9040983266425,1519.774345465012,-17.87024713836945,D
7697239,18/19,3,2018-10-13 18:45:00+00:00,finished,Bulgaria,Cyprus,2.0,1.0,"UEFA Nations League, League C, Gr. 3",85.0,1271.683325,124.0,1133.247165,39.0,138.43615999999997,3.0,1.5,1.0,-0.5,34.0,34.0,1520.0104732661457,1495.9351355719891,24.075337694156588,H
7697290,18/19,5,2018-11-15 19:45:00+00:00,finished,Greece,Finland,1.0,0.0,"UEFA Nations League, League C, Gr. 2",46.0,1473.187305,75.0,1341.922408,29.0,131.26489700000002,1.5,3.0,-0.25,1.25,31.0,31.0,1499.626613871221,1538.1972841989764,-38.57067032775535,H
7697306,18/19,5,2018-11-15 19:45:00+00:00,finished,Belgium,Iceland,2.0,0.0,"UEFA Nations League, League A, Gr. 2",8.0,1778.355242,74.0,1342.771961,66.0,435.58328100000017,3.0,0.0,2.0,-3.3333333333333335,34.0,31.0,1527.9660555100745,1452.2597163997582,75.70633911031632,H
7697288,18/19,5,2018-11-17 19:45:00+00:00,finished,Romania,Lithuania,3.0,0.0,"UEFA Nations League, League C, Gr. 4",52.0,1455.894657,149.0,1056.850321,97.0,399.04433600000016,1.5,0.0,0.25,-1.75,34.0,34.0,1510.1546994670064,1446.069528995685,64.08517047132136,H
7697246,18/19,6,2018-11-19 19:45:00+00:00,finished,Denmark,Ireland,0.0,0.0,"UEFA Nations League, League B, Gr. 4",21.0,1619.474248,55.0,1441.096901,34.0,178.3773470000001,2.3333333333333335,0.3333333333333333,1.0,-1.3333333333333333,3.0,34.0,1525.730727943554,1473.2706733701896,52.46005457336446,D
7697254,18/19,6,2018-11-19 19:45:00+00:00,finished,Germany,Netherlands,2.0,2.0,"UEFA Nations League, League A, Gr. 1",12.0,1726.218839,9.0,1775.54224,-3.0,-49.3234010000001,0.3333333333333333,2.0,-1.3333333333333333,1.3333333333333333,34.0,3.0,1476.1527267193842,1519.1527542575507,-43.00002753816648,D
