fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group
10225909,22/23,6,2022-09-26 18:45:00+00:00,finished,San Marino,Estonia,0.0,4.0,"UEFA Nations League, League D, Gr. 2"
10023377,22/23,6,2022-09-26 18:45:00+00:00,finished,England,Germany,3.0,3.0,"UEFA Nations League, League A, Gr. 3"
10225879,22/23,6,2022-09-27 18:45:00+00:00,finished,Kosovo,Cyprus,5.0,1.0,"UEFA Nations League, League C, Gr. 2"
10023302,22/23,6,2022-09-27 18:45:00+00:00,finished,Greece,Northern Ireland,3.0,1.0,"UEFA Nations League, League C, Gr. 2"
10023424,22/23,6,2022-09-27 18:45:00+00:00,finished,Sweden,Slovenia,1.0,1.0,"UEFA Nations League, League B, Gr. 4"
10023392,22/23,6,2022-09-27 18:45:00+00:00,finished,Norway,Serbia,0.0,2.0,"UEFA Nations League, League B, Gr. 4"
10023418,22/23,6,2022-09-27 18:45:00+00:00,finished,Ukraine,Scotland,0.0,0.0,"UEFA Nations League, League B, Gr. 1"
10023313,22/23,6,2022-09-27 18:45:00+00:00,finished,Ireland,Armenia,3.0,2.0,"UEFA Nations League, League B, Gr. 1"
10023364,22/23,6,2022-09-27 18:45:00+00:00,finished,Switzerland,Czechia,2.0,1.0,"UEFA Nations League, League A, Gr. 2"
10023338,22/23,6,2022-09-27 18:45:00+00:00,finished,Portugal,Spain,0.0,1.0,"UEFA Nations League, League A, Gr. 2"
10023299,22/23,6,2022-09-27 18:45:00+00:00,canceled,Russia,Israel,,,"UEFA Nations League, League B, Gr. 2"
10023395,22/23,6,2022-09-27 18:45:00+00:00,finished,Albania,Iceland,1.0,1.0,"UEFA Nations League, League B, Gr. 2"
12057831,24/25,1,2024-09-05 16:00:00+00:00,finished,Azerbaijan,Sweden,1.0,3.0,"UEFA Nations League, League C, Gr. 1"
12057929,24/25,1,2024-09-05 18:45:00+00:00,finished,Portugal,Croatia,2.0,1.0,"UEFA Nations League, League A, Gr. 1"
12057919,24/25,1,2024-09-05 18:45:00+00:00,finished,Scotland,Poland,2.0,3.0,"UEFA Nations League, League A, Gr. 1"
12057887,24/25,1,2024-09-05 18:45:00+00:00,finished,Denmark,Switzerland,2.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057882,24/25,1,2024-09-05 18:45:00+00:00,finished,Serbia,Spain,0.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057832,24/25,1,2024-09-05 18:45:00+00:00,finished,Estonia,Slovakia,0.0,1.0,"UEFA Nations League, League C, Gr. 1"
12057805,24/25,1,2024-09-05 18:45:00+00:00,finished,Belarus,Bulgaria,0.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057810,24/25,1,2024-09-05 18:45:00+00:00,finished,Northern Ireland,Luxembourg,2.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057789,24/25,1,2024-09-05 18:45:00+00:00,finished,San Marino,Liechtenstein,1.0,0.0,"UEFA Nations League, League D, Gr. 1"
12057849,24/25,1,2024-09-06 14:00:00+00:00,finished,Kazakhstan,Norway,0.0,0.0,"UEFA Nations League, League B, Gr. 3"
12198109,24/25,1,2024-09-06 16:00:00+00:00,finished,Lithuania,Cyprus,0.0,1.0,"UEFA Nations League, League C, Gr. 2"
12057852,24/25,1,2024-09-06 18:45:00+00:00,finished,Slovenia,Austria,1.0,1.0,"UEFA Nations League, League B, Gr. 3"
12057841,24/25,1,2024-09-06 18:45:00+00:00,finished,Iceland,Montenegro,2.0,0.0,"UEFA Nations League, League B, Gr. 4"
12057847,24/25,1,2024-09-06 18:45:00+00:00,finished,Wales,Türkiye,0.0,0.0,"UEFA Nations League, League B, Gr. 4"
12057817,24/25,1,2024-09-06 18:45:00+00:00,finished,Kosovo,Romania,0.0,3.0,"UEFA Nations League, League C, Gr. 2"
12057909,24/25,1,2024-09-06 18:45:00+00:00,finished,France,Italy,1.0,3.0,"UEFA Nations League, League A, Gr. 2"
12057912,24/25,1,2024-09-06 18:45:00+00:00,finished,Belgium,Israel,3.0,1.0,"UEFA Nations League, League A, Gr. 2"
12057798,24/25,1,2024-09-07 13:00:00+00:00,finished,Faroe Islands,North Macedonia,1.0,1.0,"UEFA Nations League, League C, Gr. 4"
12057880,24/25,1,2024-09-07 16:00:00+00:00,finished,Georgia,Czechia,4.0,1.0,"UEFA Nations League, League B, Gr. 1"
12057873,24/25,1,2024-09-07 16:00:00+00:00,finished,Ireland,England,0.0,2.0,"UEFA Nations League, League B, Gr. 2"
12057799,24/25,1,2024-09-07 16:00:00+00:00,finished,Armenia,Latvia,4.0,1.0,"UEFA Nations League, League C, Gr. 4"
12057787,24/25,1,2024-09-07 16:00:00+00:00,finished,Moldova,Malta,2.0,0.0,"UEFA Nations League, League D, Gr. 2"
12057903,24/25,1,2024-09-07 18:45:00+00:00,finished,Germany,Hungary,5.0,0.0,"UEFA Nations League, League A, Gr. 3"
12057896,24/25,1,2024-09-07 18:45:00+00:00,finished,Netherlands,Bosnia & Herzegovina,5.0,2.0,"UEFA Nations League, League A, Gr. 3"
12057879,24/25,1,2024-09-07 18:45:00+00:00,finished,Ukraine,Albania,1.0,2.0,"UEFA Nations League, League B, Gr. 1"
