team,country_code,rank,points,previous_rank,fetched_at,snapshot_date
Azerbaijan,AZE,126,1131.995112,126,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Estonia,EST,127,1130.63629,127,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Rwanda,RWA,128,1126.622275,128,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Malawi,MWI,129,1122.053591,129,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Zimbabwe,ZWE,130,1119.77695,130,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Nicaragua,NIC,131,1114.634184,131,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Guinea-Bissau,GNB,132,1108.381553,132,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Kuwait,KWT,133,1106.474587,133,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Congo Republic,COG,134,1105.964661,134,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Philippines,PHL,135,1100.949959,135,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Malaysia,MYS,136,1086.218087,136,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Latvia,LVA,137,1085.660758,137,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
India,IND,138,1084.930775,138,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Central African Republic,CAF,139,1080.824745,139,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Liberia,LBR,140,1080.435325,140,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Turkmenistan,TKM,141,1078.652346,141,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Burundi,BDI,142,1078.009468,142,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Ethiopia,ETH,143,1077.520799,143,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Dominican Republic,DOM,144,1076.498501,144,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Yemen,YEM,145,1065.236881,145,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Lesotho,LSO,146,1064.285838,146,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Botswana,BWA,147,1063.631368,147,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Singapore,SGP,148,1057.950212,148,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Lithuania,LTU,149,1056.850321,149,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Guyana,GUY,150,1049.320241,150,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
New Caledonia,NCL,151,1036.952253,151,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Saint Kitts and Nevis,KNA,152,1036.334924,152,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Solomon Islands,SLB,153,1031.894156,153,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Puerto Rico,PRI,154,1024.297312,154,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Fiji,FJI,155,1024.172648,155,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Hong Kong,HKG,156,1024.164346,156,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Tahiti,PYF,157,1019.036032,157,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
